,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discover_method,planet_orbital_inclination,planet_density,right_ascension,ra,declination,host_temperature,host_mass,host_radius
3214,3214,Kepler-559 b,2587.0,12.7 Earths,14.742,2016,Neptune-like,0.322 x Jupiter,Unknown,17.6 days,0.0,Kepler-553,Transit,,,19h54m12.20s,298.550829,+48d19m56.8s,5266.0,0.92,0.85
3215,3215,Kepler-55 b,1920.0,1.49 Jupiters,15.781,2012,Neptune-like,0.217 x Jupiter,Unknown,27.9 days,0.0,Kepler-554,Transit,,,19h45m37.64s,296.406853,+51d21m29.4s,5447.0,0.93,0.92
3216,3216,Kepler-55 c,1920.0,1.11 Jupiters,15.781,2012,Neptune-like,2.21 x Earth,Unknown,42.2 days,0.0,Kepler-555,Transit,,,19h02m04.04s,285.516852,+38d55m56.7s,5894.0,1.03,1.04
3217,3217,Kepler-55 d,1920.0,3.15 Earths,15.781,2014,Super Earth,1.59 x Earth,0.029 AU,2.2 days,0.0,Kepler-556,Transit,,,19h22m07.07s,290.529444,+38d56m33.6s,5740.0,1.0,0.98
3218,3218,Kepler-55 e,1920.0,3.02 Earths,15.781,2014,Super Earth,1.55 x Earth,0.048 AU,4.6 days,0.0,Kepler-557,Transit,,,19h34m50.03s,293.708458,+41d36m54.5s,6068.0,1.11,1.16
3219,3219,Kepler-55 f,1920.0,3.15 Earths,15.781,2014,Super Earth,1.59 x Earth,0.081 AU,10.2 days,0.0,Kepler-558,Transit,,,18h58m37.89s,284.657888,+42d39m09.6s,5242.0,0.85,0.81
3220,3220,Kepler-560 b,287.0,3.61 Earths,14.751,2016,Super Earth,1.72 x Earth,0.0899 AU,18.5 days,0.17,Kepler-559,Transit,,,19h46m32.84s,296.636834,+43d48m10.1s,5630.0,0.96,0.95
3221,3221,Kepler-561 b,2176.0,38.7 Earths,14.332,2016,Gas Giant,0.621 x Jupiter,Unknown,58.4 days,0.0,Kepler-56,Transit,,0.442,19h35m02.00s,293.758347,+41d52m18.7s,4840.0,1.32,4.23
3222,3222,Kepler-561 c,2176.0,7.65 Earths,14.332,2016,Neptune-like,0.239 x Jupiter,Unknown,5.4 days,0.0,Kepler-56,Transit,,1.06,19h35m02.00s,293.758347,+41d52m18.7s,4840.0,1.32,4.23
3223,3223,Kepler-562 b,2681.0,23.7 Earths,14.743,2016,Neptune-like,0.465 x Jupiter,Unknown,18 days,0.0,Kepler-56,Radial Velocity,,,19h35m02.00s,293.758347,+41d52m18.7s,4840.0,1.32,4.23
3224,3224,Kepler-563 b,1817.0,9.75 Earths,14.739,2016,Neptune-like,0.276 x Jupiter,Unknown,22.2 days,0.0,Kepler-560,Transit,,,20h00m49.46s,300.206095,+45d01m05.3s,3556.0,0.34,0.33
3225,3225,Kepler-564 b,2707.0,19.4 Earths,14.719,2016,Neptune-like,0.413 x Jupiter,Unknown,3.8 days,0.0,Kepler-561,Transit,,,19h34m59.30s,293.747096,+45d06m26.0s,5646.0,0.96,0.94
3226,3226,Kepler-565 b,3396.0,12.9 Earths,15.0,2016,Neptune-like,0.325 x Jupiter,Unknown,4.2 days,0.0,Kepler-561,Transit,,,19h34m59.30s,293.747096,+45d06m26.0s,5646.0,0.96,0.94
3227,3227,Kepler-566 b,2049.0,5.27 Earths,14.964,2016,Neptune-like,2.15 x Earth,Unknown,18.4 days,0.0,Kepler-562,Transit,,,19h20m28.71s,290.119627,+46d16m25.7s,5575.0,0.93,0.9
3228,3228,Kepler-567 b,1853.0,5.69 Earths,14.669,2016,Neptune-like,0.201 x Jupiter,Unknown,16.5 days,0.0,Kepler-563,Transit,,,19h29m47.11s,292.446272,+46d17m23.2s,5066.0,0.8,0.77
3229,3229,Kepler-568 b,411.0,5.73 Earths,14.251,2016,Neptune-like,0.202 x Jupiter,Unknown,11 days,0.0,Kepler-564,Transit,,,19h47m21.21s,296.838379,+46d37m35.1s,5626.0,0.95,0.92
3230,3230,Kepler-569 b,2104.0,10.1 Earths,14.082,2016,Neptune-like,0.282 x Jupiter,Unknown,34.2 days,0.0,Kepler-565,Transit,,,18h54m28.31s,283.617946,+47d11m48.1s,5735.0,0.98,0.95
3231,3231,Kepler-56 b,3056.0,22.1 Earths,12.43,2012,Neptune-like,0.581 x Jupiter,0.1028 AU,10.5 days,0.04,Kepler-566,Transit,,,19h26m13.08s,291.554496,+47d48m52.1s,5132.0,0.83,0.79
3232,3232,Kepler-56 c,3056.0,0.57 Jupiters,12.43,2012,Gas Giant,0.874 x Jupiter,0.1652 AU,21.4 days,0.0,Kepler-567,Transit,,,19h50m41.43s,297.672615,+48d18m08.3s,5148.0,0.84,0.79
3233,3233,Kepler-56 d,3056.0,5.61 Jupiters,12.43,2016,Gas Giant,1.14 x Jupiter,2.16 AU,2.7 years,0.2,Kepler-568,Transit,,,19h52m25.37s,298.105708,+48d24m04.1s,3768.0,0.55,0.53
3234,3234,Kepler-570 b,2094.0,6.57 Earths,14.329,2016,Neptune-like,0.219 x Jupiter,Unknown,4.3 days,0.0,Kepler-569,Transit,,,18h54m01.75s,283.507278,+48d33m09.4s,5616.0,0.95,0.93
3235,3235,Kepler-571 b,2466.0,7.46 Earths,14.654,2016,Neptune-like,0.236 x Jupiter,Unknown,4.8 days,0.0,Kepler-57,Transit,,,19h34m33.91s,293.641285,+44d39m25.3s,5145.0,0.83,0.73
3236,3236,Kepler-572 b,1735.0,7.18 Earths,14.485,2016,Neptune-like,0.23 x Jupiter,Unknown,17.2 days,0.0,Kepler-57,Transit,,,19h34m33.91s,293.641285,+44d39m25.3s,5145.0,0.83,0.73
3237,3237,Kepler-573 b,2473.0,8.2 Earths,14.136,2016,Neptune-like,0.249 x Jupiter,Unknown,22.2 days,0.0,Kepler-570,Transit,,,19h21m45.02s,290.437586,+48d47m30.8s,5496.0,0.93,0.9
3238,3238,Kepler-574 b,2437.0,6.3 Earths,14.539,2016,Neptune-like,0.213 x Jupiter,Unknown,7.7 days,0.0,Kepler-571,Transit,,,19h06m12.24s,286.55102,+49d25m07.5s,5527.0,0.93,0.9
3239,3239,Kepler-575 b,2779.0,6.3 Earths,14.712,2016,Neptune-like,0.213 x Jupiter,Unknown,9.4 days,0.0,Kepler-572,Transit,,,19h24m53.06s,291.221081,+50d34m52.7s,5212.0,0.83,0.79
3240,3240,Kepler-576 b,2277.0,10.7 Earths,14.382,2016,Neptune-like,0.292 x Jupiter,Unknown,29.9 days,0.0,Kepler-573,Transit,,,19h18m05.08s,289.521162,+51d14m14.3s,5746.0,0.99,1.02
